# fixture: simplified-only-unread
# engine: EnergyPlus, Version 26.1.0-6f2e40d102
# frame: Vertices are shown starting at Upper-Left-Corner => Counter-Clockwise => World Coordinates
# mirrored shading surfaces dropped: 12
# generated by checks/geometry-vertices/regenerate.py; do not hand-edit
# rows are ragged by design: three columns per vertex, vertex_count of them
kind,name,surface_class,base_surface,vertex_count,vertices
Shading Surface,BUSHES-SOUTH,Detached Shading:Fixed,,4,1.00,0.00,1.00,1.00,0.00,0.00,51.00,0.00,0.00,51.00,0.00,1.00
Shading Surface,BUSHES-NORTH,Detached Shading:Fixed,,4,51.00,50.00,1.00,51.00,50.00,0.00,1.00,50.00,0.00,1.00,50.00,1.00
Shading Surface,BUSHES-WEST,Detached Shading:Fixed,,4,1.00,50.00,1.00,1.00,50.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00
Shading Surface,BUSHES-EAST,Detached Shading:Building,,4,51.00,-0.00,1.00,51.00,0.00,0.00,51.00,50.00,0.00,51.00,50.00,1.00
Shading Surface,ZN001:WALL001:WIN001:SHADE001,Shading,ZN001:WALL001,4,9.80,3.00,8.70,9.80,6.00,8.70,13.20,6.00,8.70,13.20,3.00,8.70
Shading Surface,ZN001:WALL001:DOOR001:SHADE001,Shading,ZN001:WALL001,4,20.00,3.00,5.60,20.00,6.00,5.60,23.00,6.00,5.60,23.00,3.00,5.60
Shading Surface,ZN002:WALL001:WIN001:SHADE001,Shading,ZN002:WALL001,4,30.00,3.00,8.70,30.00,6.00,8.70,33.00,6.00,8.70,33.00,3.00,8.70
Shading Surface,ZN002:WALL002:WIN001:SHADE001,Shading,ZN002:WALL002,4,49.00,15.00,8.70,46.00,15.00,8.70,46.00,18.00,8.70,49.00,18.00,8.70
Shading Surface,ZN001:WALL001:SHADE003 Left,Shading,ZN001:WALL001,4,9.90,6.00,8.10,9.90,6.00,2.90,9.90,3.00,2.90,9.90,3.00,8.10
Shading Surface,ZN001:WALL001:SHADE003 Right,Shading,ZN001:WALL001,4,13.10,6.00,8.10,13.10,6.00,2.90,13.10,3.00,2.90,13.10,3.00,8.10
Shading Surface,ZN002:WALL002:SHADE002 Left,Shading,ZN002:WALL002,4,46.00,14.90,8.10,46.00,14.90,2.90,49.00,14.90,2.90,49.00,14.90,8.10
Shading Surface,ZN002:WALL002:SHADE002 Right,Shading,ZN002:WALL002,4,46.00,18.10,8.10,46.00,18.10,2.90,49.00,18.10,2.90,49.00,18.10,8.10
HeatTransfer Surface,ZN001:WALL001,Wall,,4,6.00,6.00,10.00,6.00,6.00,0.00,26.00,6.00,0.00,26.00,6.00,10.00
HeatTransfer Surface,ZN001:WALL001:WIN001,Window,ZN001:WALL001,4,10.00,6.00,8.00,10.00,6.00,3.00,13.00,6.00,3.00,13.00,6.00,8.00
HeatTransfer Surface,ZN001:WALL001:DOOR001,Door,ZN001:WALL001,4,20.00,6.00,5.00,20.00,6.00,0.00,23.00,6.00,0.00,23.00,6.00,5.00
HeatTransfer Surface,ZN001:WALL002,Wall,,4,26.00,26.00,10.00,26.00,26.00,0.00,6.00,26.00,0.00,6.00,26.00,10.00
HeatTransfer Surface,ZN001:WALL003,Wall,,4,6.00,26.00,10.00,6.00,26.00,0.00,6.00,6.00,0.00,6.00,6.00,10.00
HeatTransfer Surface,ZN001:WALL004,Wall,,4,26.00,6.00,10.00,26.00,6.00,0.00,26.00,26.00,0.00,26.00,26.00,10.00
HeatTransfer Surface,ZN001:FLR001,Floor,,4,26.00,6.00,0.00,6.00,6.00,0.00,6.00,26.00,0.00,26.00,26.00,0.00
HeatTransfer Surface,ZN001:ROOF001,Roof,,4,6.00,26.00,10.00,6.00,6.00,10.00,26.00,6.00,10.00,26.00,26.00,10.00
HeatTransfer Surface,ZN002:WALL001,Wall,,4,26.00,6.00,10.00,26.00,6.00,0.00,46.00,6.00,0.00,46.00,6.00,10.00
